Transaction_ID,Date,Business_ID,Category,Cash_Inflow,Cash_Outflow,Net_Cashflow,Payment_Method,Notes
TXN_NEW00121,2025-08-10,SMB202,Payroll,0,28704,-28704,Online Wallet,Warning: Negative cashflow
TXN_NEW00122,2024-08-16,SMB203,Sales Revenue,57502,0,57502,Cash,Market fluctuation
TXN_NEW00123,2024-07-07,SMB228,Inventory Purchase,0,28457,-28457,Cash,Warning: Negative cashflow
TXN_NEW00124,2025-07-26,SMB205,Payroll,0,11985,-11985,Online Wallet,Warning: Negative cashflow
TXN_NEW00125,2024-09-16,SMB215,Rent,0,17862,-17862,Bank Transfer,Warning: Negative cashflow
TXN_NEW00126,2024-11-26,SMB221,Sales Revenue,15137,0,15137,Online Wallet,Seasonal effect
TXN_NEW00127,2024-10-01,SMB247,Inventory Purchase,0,7124,-7124,Online Wallet,Warning: Negative cashflow
TXN_NEW00128,2024-09-09,SMB213,Sales Revenue,55867,0,55867,Credit,Market fluctuation
TXN_NEW00129,2024-06-15,SMB223,Sales Revenue,50330,0,50330,Cash,Market fluctuation
TXN_NEW00130,2024-11-02,SMB204,Inventory Purchase,0,21733,-21733,Credit,Warning: Negative cashflow
TXN_NEW00131,2025-08-06,SMB228,Inventory Purchase,0,12340,-12340,Credit,Warning: Negative cashflow
TXN_NEW00132,2025-03-12,SMB214,Sales Revenue,6014,0,6014,Online Wallet,Customer delay
TXN_NEW00133,2024-09-26,SMB217,Miscellaneous,6233,0,6233,Bank Transfer,Market fluctuation
TXN_NEW00134,2024-09-14,SMB203,Payroll,0,4150,-4150,Online Wallet,Warning: Negative cashflow
TXN_NEW00135,2024-10-14,SMB229,Rent,0,30258,-30258,Online Wallet,Warning: Negative cashflow
TXN_NEW00136,2025-03-14,SMB239,Miscellaneous,0,5461,-5461,Bank Transfer,Warning: Negative cashflow
TXN_NEW00137,2024-06-11,SMB210,Inventory Purchase,0,9734,-9734,Cash,Warning: Negative cashflow
TXN_NEW00138,2025-04-26,SMB234,Loan Repayment,0,26488,-26488,Credit,Warning: Negative cashflow
TXN_NEW00139,2025-06-29,SMB211,Payroll,0,16124,-16124,Credit,Warning: Negative cashflow
TXN_NEW00140,2025-01-28,SMB250,Loan Repayment,0,13232,-13232,Online Wallet,Warning: Negative cashflow
TXN_NEW00141,2024-09-01,SMB209,Miscellaneous,10907,0,10907,Cash,Normal transaction
TXN_NEW00142,2025-01-27,SMB213,Sales Revenue,34875,0,34875,Cash,Normal transaction
TXN_NEW00143,2024-09-06,SMB208,Sales Revenue,11645,24995,-24995,Bank Transfer,Warning: Negative cashflow
TXN_NEW00144,2024-12-05,SMB246,Rent,0,5162,-5162,Bank Transfer,Warning: Negative cashflow
TXN_NEW00145,2024-06-12,SMB240,Miscellaneous,7742,0,7742,Credit,Customer delay
TXN_NEW00146,2025-01-09,SMB238,Inventory Purchase,0,34199,-34199,Credit,Warning: Negative cashflow
TXN_NEW00147,2025-05-19,SMB229,Miscellaneous,0,11783,-11783,Credit,Warning: Negative cashflow
TXN_NEW00148,2025-03-20,SMB231,Miscellaneous,1025,0,1025,Credit,Seasonal effect
TXN_NEW00149,2025-06-08,SMB205,Sales Revenue,38081,0,38081,Online Wallet,Market fluctuation
TXN_NEW00150,2024-06-30,SMB229,Payroll,0,7079,-7079,Online Wallet,Warning: Negative cashflow
TXN_NEW00151,2025-07-01,SMB202,Payroll,0,4099,-4099,Bank Transfer,Warning: Negative cashflow
TXN_NEW00152,2025-06-26,SMB246,Sales Revenue,8101,0,8101,Bank Transfer,Market fluctuation
TXN_NEW00153,2024-12-20,SMB203,Miscellaneous,9821,0,9821,Bank Transfer,Seasonal effect
TXN_NEW00154,2025-07-28,SMB216,Payroll,0,6073,-6073,Bank Transfer,Warning: Negative cashflow
TXN_NEW00155,2024-09-08,SMB235,Miscellaneous,0,2124,-2124,Cash,Warning: Negative cashflow
TXN_NEW00156,2024-09-04,SMB209,Inventory Purchase,0,7075,-7075,Bank Transfer,Warning: Negative cashflow
TXN_NEW00157,2025-05-05,SMB214,Payroll,0,31831,-31831,Bank Transfer,Warning: Negative cashflow
TXN_NEW00158,2025-07-20,SMB216,Miscellaneous,6784,0,6784,Cash,Normal transaction
TXN_NEW00159,2025-05-27,SMB236,Inventory Purchase,0,143517,-122692,Credit,Warning: Negative cashflow
TXN_NEW00160,2025-07-31,SMB242,Miscellaneous,3137,0,3137,Online Wallet,Normal transaction
TXN_NEW00161,2024-08-23,SMB240,Sales Revenue,14083,0,14083,Online Wallet,Normal transaction
TXN_NEW00162,2025-06-21,SMB207,Loan Repayment,0,33978,-33978,Cash,Warning: Negative cashflow
TXN_NEW00163,2025-02-04,SMB246,Rent,0,16654,-16654,Credit,Warning: Negative cashflow
TXN_NEW00164,2025-04-23,SMB219,Loan Repayment,0,19988,-19988,Cash,Warning: Negative cashflow
TXN_NEW00165,2025-01-09,SMB204,Rent,0,6915,-6915,Bank Transfer,Warning: Negative cashflow
TXN_NEW00166,2025-06-01,SMB202,Loan Repayment,0,127559,-104257,Bank Transfer,Warning: Negative cashflow
TXN_NEW00167,2025-06-06,SMB249,Loan Repayment,0,9953,-9953,Credit,Warning: Negative cashflow
TXN_NEW00168,2024-06-09,SMB238,Miscellaneous,1852,0,1852,Cash,Seasonal effect
TXN_NEW00169,2025-02-25,SMB206,Rent,0,7784,-7784,Online Wallet,Warning: Negative cashflow
TXN_NEW00170,2025-07-20,SMB218,Sales Revenue,15706,0,15706,Credit,Normal transaction
TXN_NEW00171,2025-07-26,SMB224,Loan Repayment,0,32359,-32359,Bank Transfer,Warning: Negative cashflow
TXN_NEW00172,2025-06-30,SMB244,Loan Repayment,0,31434,-31434,Cash,Warning: Negative cashflow
TXN_NEW00173,2025-03-14,SMB224,Payroll,0,13584,-13584,Online Wallet,Warning: Negative cashflow
TXN_NEW00174,2025-06-08,SMB209,Miscellaneous,0,8002,-8002,Online Wallet,Warning: Negative cashflow
TXN_NEW00175,2025-05-08,SMB232,Miscellaneous,0,10382,-10382,Bank Transfer,Warning: Negative cashflow
TXN_NEW00176,2024-07-13,SMB229,Loan Repayment,0,13243,-13243,Bank Transfer,Warning: Negative cashflow
TXN_NEW00177,2024-06-13,SMB208,Payroll,0,2704,-2704,Credit,Warning: Negative cashflow
TXN_NEW00178,2025-01-28,SMB242,Inventory Purchase,0,32811,-32811,Online Wallet,Warning: Negative cashflow
TXN_NEW00179,2024-10-04,SMB221,Inventory Purchase,0,26786,-26786,Credit,Warning: Negative cashflow
TXN_NEW00180,2025-08-13,SMB237,Miscellaneous,0,7514,-7514,Online Wallet,Warning: Negative cashflow
TXN_NEW00181,2024-12-20,SMB238,Miscellaneous,0,3581,-3581,Credit,Warning: Negative cashflow
TXN_NEW00182,2024-10-16,SMB201,Sales Revenue,42777,0,42777,Cash,Market fluctuation
TXN_NEW00183,2024-08-07,SMB236,Miscellaneous,8628,0,8628,Online Wallet,Customer delay
TXN_NEW00184,2024-11-22,SMB220,Miscellaneous,7549,0,7549,Credit,Market fluctuation
TXN_NEW00185,2025-02-13,SMB203,Payroll,0,15688,-15688,Credit,Warning: Negative cashflow
TXN_NEW00186,2025-01-19,SMB215,Payroll,0,91460,-91460,Bank Transfer,Warning: Negative cashflow
TXN_NEW00187,2025-07-10,SMB246,Inventory Purchase,0,333040,-333040,Online Wallet,Warning: Negative cashflow
TXN_NEW00188,2025-04-28,SMB233,Rent,0,10257,-10257,Online Wallet,Warning: Negative cashflow
TXN_NEW00189,2025-01-01,SMB228,Rent,0,33963,-33963,Online Wallet,Warning: Negative cashflow
TXN_NEW00190,2024-10-28,SMB204,Payroll,0,8212,-8212,Bank Transfer,Warning: Negative cashflow
TXN_NEW00191,2024-07-11,SMB231,Inventory Purchase,0,23977,-23977,Credit,Warning: Negative cashflow
TXN_NEW00192,2025-04-08,SMB240,Sales Revenue,28493,3295,-3295,Cash,Warning: Negative cashflow
TXN_NEW00193,2024-06-16,SMB225,Rent,0,7969,-7969,Cash,Warning: Negative cashflow
TXN_NEW00194,2025-01-08,SMB236,Payroll,0,22743,-22743,Credit,Warning: Negative cashflow
TXN_NEW00195,2025-08-04,SMB217,Miscellaneous,10262,0,10262,Online Wallet,Customer delay
TXN_NEW00196,2025-07-05,SMB230,Miscellaneous,9366,0,9366,Bank Transfer,Customer delay
TXN_NEW00197,2025-08-16,SMB201,Sales Revenue,30368,0,30368,Credit,Seasonal effect
TXN_NEW00198,2025-05-18,SMB220,Rent,0,18668,-18668,Bank Transfer,Warning: Negative cashflow
TXN_NEW00199,2025-01-30,SMB249,Loan Repayment,0,3512,-3512,Credit,Warning: Negative cashflow
TXN_NEW00200,2025-03-27,SMB233,Inventory Purchase,0,16106,-16106,Bank Transfer,Warning: Negative cashflow
TXN_NEW00201,2024-06-21,SMB213,Sales Revenue,20983,0,20983,Credit,Normal transaction
TXN_NEW00202,2025-03-25,SMB209,Rent,0,25867,-25867,Credit,Warning: Negative cashflow
TXN_NEW00203,2025-05-28,SMB205,Payroll,0,32327,-32327,Bank Transfer,Warning: Negative cashflow
TXN_NEW00204,2024-07-19,SMB218,Payroll,0,14139,-14139,Online Wallet,Warning: Negative cashflow
TXN_NEW00205,2025-04-29,SMB243,Inventory Purchase,0,32678,-32678,Online Wallet,Warning: Negative cashflow
TXN_NEW00206,2025-04-09,SMB233,Miscellaneous,5412,0,5412,Online Wallet,Normal transaction
TXN_NEW00207,2025-05-11,SMB243,Rent,0,31434,-31434,Credit,Warning: Negative cashflow
TXN_NEW00208,2025-04-08,SMB245,Rent,0,33230,-33230,Bank Transfer,Warning: Negative cashflow
TXN_NEW00209,2025-03-30,SMB217,Loan Repayment,0,16433,-16433,Cash,Warning: Negative cashflow
TXN_NEW00210,2024-12-18,SMB205,Rent,0,16834,-16834,Cash,Warning: Negative cashflow
TXN_NEW00211,2024-08-23,SMB248,Miscellaneous,0,7288,-7288,Credit,Warning: Negative cashflow
TXN_NEW00212,2025-07-15,SMB211,Payroll,0,18744,-18744,Bank Transfer,Warning: Negative cashflow
TXN_NEW00213,2025-05-28,SMB217,Rent,0,6607,-6607,Online Wallet,Warning: Negative cashflow
TXN_NEW00214,2024-07-10,SMB208,Sales Revenue,13282,0,13282,Credit,Seasonal effect
TXN_NEW00215,2024-12-21,SMB206,Rent,0,4504,-4504,Credit,Warning: Negative cashflow
TXN_NEW00216,2025-03-05,SMB243,Loan Repayment,0,23819,-23819,Cash,Warning: Negative cashflow
TXN_NEW00217,2024-08-16,SMB236,Miscellaneous,1554,0,1554,Credit,Seasonal effect
TXN_NEW00218,2025-06-08,SMB243,Payroll,0,6281,-6281,Online Wallet,Warning: Negative cashflow
TXN_NEW00219,2024-08-31,SMB219,Payroll,0,24007,-24007,Online Wallet,Warning: Negative cashflow
TXN_NEW00220,2025-04-20,SMB201,Inventory Purchase,0,17691,-17691,Online Wallet,Warning: Negative cashflow
TXN_NEW00221,2024-10-19,SMB220,Miscellaneous,5509,0,5509,Cash,Seasonal effect
TXN_NEW00222,2024-07-14,SMB225,Payroll,0,12763,-12763,Cash,Warning: Negative cashflow
TXN_NEW00223,2024-08-16,SMB220,Miscellaneous,0,7710,-7710,Cash,Warning: Negative cashflow
TXN_NEW00224,2025-06-12,SMB228,Payroll,0,30457,-30457,Online Wallet,Warning: Negative cashflow
TXN_NEW00225,2025-02-21,SMB202,Inventory Purchase,0,19124,-19124,Credit,Warning: Negative cashflow
TXN_NEW00226,2025-06-11,SMB202,Miscellaneous,1397,0,1397,Credit,Market fluctuation
TXN_NEW00227,2025-03-17,SMB242,Sales Revenue,51789,0,51789,Online Wallet,Normal transaction
TXN_NEW00228,2024-09-15,SMB239,Sales Revenue,36351,0,36351,Credit,Normal transaction
TXN_NEW00229,2024-10-15,SMB222,Inventory Purchase,0,10034,-10034,Credit,Warning: Negative cashflow
TXN_NEW00230,2025-06-06,SMB204,Miscellaneous,0,9192,-9192,Credit,Warning: Negative cashflow
TXN_NEW00231,2025-06-10,SMB242,Rent,0,10959,-10959,Bank Transfer,Warning: Negative cashflow
TXN_NEW00232,2025-01-07,SMB249,Inventory Purchase,0,108552,-95457,Bank Transfer,Warning: Negative cashflow
TXN_NEW00233,2025-03-31,SMB241,Rent,0,10014,-10014,Bank Transfer,Warning: Negative cashflow
TXN_NEW00234,2025-07-29,SMB219,Inventory Purchase,0,23608,-23608,Cash,Warning: Negative cashflow
TXN_NEW00235,2024-08-05,SMB236,Loan Repayment,0,21287,-21287,Online Wallet,Warning: Negative cashflow
TXN_NEW00236,2024-10-13,SMB213,Inventory Purchase,0,20243,-20243,Credit,Warning: Negative cashflow
TXN_NEW00237,2024-09-18,SMB246,Miscellaneous,5034,0,5034,Online Wallet,Seasonal effect
TXN_NEW00238,2025-05-08,SMB226,Inventory Purchase,0,25209,-25209,Cash,Warning: Negative cashflow
TXN_NEW00239,2025-06-06,SMB216,Loan Repayment,0,24990,-24990,Online Wallet,Warning: Negative cashflow
TXN_NEW00240,2025-08-02,SMB225,Inventory Purchase,0,4971,-4971,Cash,Warning: Negative cashflow
TXN_NEW00241,2025-08-08,SMB238,Payroll,0,10455,-10455,Credit,Warning: Negative cashflow
TXN_NEW00242,2024-09-25,SMB231,Inventory Purchase,0,30268,-30268,Cash,Warning: Negative cashflow
TXN_NEW00243,2024-09-09,SMB210,Miscellaneous,8182,0,8182,Bank Transfer,Seasonal effect
TXN_NEW00244,2025-02-07,SMB239,Miscellaneous,0,8683,-8683,Credit,Warning: Negative cashflow
TXN_NEW00245,2025-07-18,SMB208,Rent,0,405329,-405329,Online Wallet,Warning: Negative cashflow
TXN_NEW00246,2024-11-07,SMB244,Payroll,0,27843,-27843,Online Wallet,Warning: Negative cashflow
TXN_NEW00247,2025-04-27,SMB225,Miscellaneous,0,11448,-11448,Bank Transfer,Warning: Negative cashflow
TXN_NEW00248,2024-07-02,SMB241,Inventory Purchase,0,33876,-33876,Bank Transfer,Warning: Negative cashflow
TXN_NEW00249,2025-05-19,SMB206,Sales Revenue,37305,0,37305,Online Wallet,Market fluctuation
TXN_NEW00250,2025-07-21,SMB227,Sales Revenue,17111,0,17111,Credit,Customer delay
TXN_NEW00251,2024-12-04,SMB225,Miscellaneous,0,2122,-2122,Bank Transfer,Warning: Negative cashflow
TXN_NEW00252,2025-01-02,SMB237,Sales Revenue,23472,0,23472,Online Wallet,Normal transaction
TXN_NEW00253,2024-09-01,SMB215,Inventory Purchase,0,10110,-10110,Online Wallet,Warning: Negative cashflow
TXN_NEW00254,2024-11-07,SMB249,Sales Revenue,38292,0,38292,Cash,Customer delay
TXN_NEW00255,2025-03-19,SMB230,Payroll,0,31954,-31954,Credit,Warning: Negative cashflow
